     FECHATMAX TMIN  NOMBRE                    
  13052025 20.4   5.4OLAVARRIA AERO            
  13052025 26.8  15.1ORAN AERO                 
  13052025 25.2   9.3PARANA AERO               
  13052025 17.4   8.4PASO DE INDIOS            
  13052025   26  13.2PASO DE LOS LIBRES AERO   
  13052025 22.7  10.4PEHUAJO AERO              
  13052025 12.9  -1.5PERITO MORENO AERO        
  13052025 20.6   8.4PIGUE AERO                
  13052025 25.8   9.7PILAR OBSERVATORIO        
  13052025 27.5  15.3POSADAS AERO              
  13052025 15.2   7.8PUERTO DESEADO AERO       
  13052025   20     8PUERTO MADRYN AERO        
  13052025   20  13.5PUNTA INDIO B.A.          
  13052025 26.5     9RAFAELA AERO              
  13052025   27  12.8RECONQUISTA AERO          
  13052025 28.4  14.1RESISTENCIA AERO          
  13052025 24.5    10RIO CUARTO AERO           
  13052025   12   1.8RIO GALLEGOS AERO         
  13052025   10    -1RIO GRANDE B.A.           
  13052025   30  13.8RIVADAVIA                 
  13052025 24.3  10.1ROSARIO AERO              
  13052025 24.5  11.5SALTA AERO                
  13052025 23.4   4.7SAN ANTONIO OESTE AERO    
  13052025 22.5    11SAN FERNANDO AERO         
  13052025 25.2     8SAN JUAN AERO             
  13052025 13.1   4.4SAN JULIAN AERO           
  13052025   24  11.4SAN LUIS AERO             
  13052025 23.9   9.3SAN MARTIN (MZA)          
  13052025   25  10.1SAN RAFAEL AERO           
  13052025 13.5   2.4SANTA CRUZ AERO           
  13052025 23.6   9.5SANTA ROSA AERO           
  13052025 24.6   5.9SANTA ROSA DE CONLARA AE  
  13052025 29.4    11SANTIAGO DEL ESTERO AERO  
  13052025 26.2  10.2SAUCE VIEJO AERO          
  13052025 26.2   9.4SUNCHALES AERO            
  13052025 19.4   4.2TANDIL AERO               
  13052025 27.5  13.5TARTAGAL AERO             
  13052025 27.2    12TERMAS DE RIO HONDO AERO  
  13052025 27.5     7TINOGASTA                 
  13052025 21.5   5.8TRELEW AERO               
  13052025 23.5  10.2TRENQUE LAUQUEN           
  13052025 21.4  10.3TRES ARROYOS              
  13052025 27.1  12.8TUCUMAN AERO              
  13052025 11.9   4.4USHUAIA AERO              
  13052025   25  -2.8USPALLATA                 
  13052025   24     8VENADO TUERTO AERO        
  13052025 25.5    10VICTORICA                 
  13052025 23.6  12.8VIEDMA AERO               
  13052025 25.8   7.2VILLA DE MARIA DEL RIO S  
  13052025 27.4  12.2VILLA DOLORES AERO        
  13052025 21.4   5.3VILLA GESELL AERO         
  13052025 27.2   6.5VILLA REYNOLDS AERO       
  12052025   20  13.8AEROPARQUE AERO           
  12052025 18.8     5AZUL AERO                 
  12052025 23.7  12.3BAHIA BLANCA AERO         
  12052025   15  -0.9BARILOCHE AERO            
  12052025-10.5 ###  BASE BELGRANO II          
  12052025  5.5   1.1BASE CARLINI (EX JUBANY)  
  12052025  3.9  -8.5BASE ESPERANZA            
  12052025 -3.5 ###  BASE MARAMBIO             
  12052025  1.3    -4BASE ORCADAS              
  12052025  3.3  -6.6BASE SAN MARTIN           
  12052025 18.7   7.6BENITO JUAREZ             
  12052025 22.5   8.2BERNARDO DE IRIGOYEN AER  
  12052025   21   8.8BOLIVAR AERO              
  12052025 20.4  14.1BUENOS AIRES OBSERVATORI  
  12052025 21.2   9.2CAMPO DE MAYO AERO        
  12052025   29  18.4CATAMARCA AERO            
  12052025 25.9   8.5CERES AERO                
  12052025NA       13CHAMICAL AERO             
  12052025 15.6     2CHAPELCO AERO             
  12052025   24  13.5CHEPES                    
  12052025 25.2   9.6CHILECITO AERO            
  12052025 17.6   6.4COMODORO RIVADAVIA AERO   
  12052025 22.9   8.1CONCORDIA AERO            
  12052025 24.7  10.7CORDOBA AERO              
  12052025 24.2  14.9CORDOBA OBSERVATORIO      
  12052025 21.9   7.8CORONEL SUAREZ AERO       
  12052025 25.4    12CORRIENTES AERO           
  12052025 19.4  10.1DOLORES AERO              
  12052025 11.9   0.2EL BOLSON AERO            
  12052025 12.9   1.9EL CALAFATE AERO          
  12052025   20  10.9EL PALOMAR AERO           
  12052025NA     11.5ESCUELA DE AVIACION MILI  
  12052025 13.7  -2.2ESQUEL AERO               
  12052025   20    12EZEIZA AERO               
  12052025 25.7  12.3FORMOSA AERO              
  12052025 25.4  12.8GENERAL PICO AERO         
  12052025 13.5     5GOBERNADOR GREGORES AERO  
  12052025   22     9GUALEGUAYCHU AERO         
  12052025 24.8  11.6IGUAZU AERO               
  12052025   25  10.5ITUZAINGO                 
  12052025 23.5   2.5JACHAL                    
  12052025 23.2  14.4JUJUY AERO                
  12052025 22.1  14.6JUJUY U N                 
  12052025 21.6   9.2JUNIN AERO                
  12052025 19.2  11.3LA PLATA AERO             
  12052025 20.7   0.8LA QUIACA OBSERVATORIO    
  12052025 26.5    15LA RIOJA AERO             
  12052025   24    12LABOULAYE AERO            
  12052025   20    10LAS FLORES                
  12052025 27.4  11.8LAS LOMITAS               
  12052025 23.2     2MALARGUE AERO             
  12052025 16.8  -5.2MAQUINCHAO                
  12052025 18.5   6.3MAR DEL PLATA AERO        
  12052025   24  10.3MARCOS JUAREZ AERO        
  12052025NA       10MARIANO MORENO AERO       
  12052025 24.8   9.8MENDOZA AERO              
  12052025NA     11.4MENDOZA OBSERVATORIO      
  12052025 23.8  10.4MERCEDES AERO (CTES)      
  12052025NA     11.2MERLO AERO                
  12052025 23.8  10.6METAN                     
  12052025   23  10.5MONTE CASEROS AERO        
  12052025 19.8  12.8MORON AERO                
  12052025 22.3     2NEUQUEN AERO              
  12052025   22    10NUEVE DE JULIO            
  12052025   20    12OBERA                     
  12052025 19.6   7.6OLAVARRIA AERO            
  12052025 25.8  13.3ORAN AERO                 
  12052025   22     9PARANA AERO               
  12052025 15.5   1.5PASO DE INDIOS            
  12052025   23  11.2PASO DE LOS LIBRES AERO   
  12052025 22.2    12PEHUAJO AERO              
  12052025 15.2  NA  PERITO MORENO AERO        
  12052025 20.7   9.7PIGUE AERO                
  12052025 23.6   9.9PILAR OBSERVATORIO        
  12052025   26  13.6POSADAS AERO              
  12052025 16.2   6.8PUERTO DESEADO AERO       
  12052025 21.8   5.2PUERTO MADRYN AERO        
  12052025 18.3  12.8PUNTA INDIO B.A.          
  12052025   24   9.5RAFAELA AERO              
  12052025   24    12RECONQUISTA AERO          
  12052025 25.7  12.1RESISTENCIA AERO          
  12052025 23.5   9.4RIO CUARTO AERO           
  12052025 12.5   3.5RIO GALLEGOS AERO         
  12052025 10.5     4RIO GRANDE B.A.           
  12052025   27  11.3RIVADAVIA                 
  12052025 22.9  10.3ROSARIO AERO              
  12052025 21.2    14SALTA AERO                
  12052025 24.1   7.2SAN ANTONIO OESTE AERO    
  12052025 20.2   9.7SAN FERNANDO AERO         
  12052025 25.5   7.5SAN JUAN AERO             
  12052025   17   8.4SAN JULIAN AERO           
  12052025 24.8  16.8SAN LUIS AERO             
  12052025 26.6  10.3SAN MARTIN (MZA)          
  12052025 24.7  11.1SAN RAFAEL AERO           
  12052025 15.5     8SANTA CRUZ AERO           
  12052025 22.7  11.6SANTA ROSA AERO           
  12052025   25    13SANTA ROSA DE CONLARA AE  
  12052025 27.5  12.3SANTIAGO DEL ESTERO AERO  
  12052025 23.3    13SAUCE VIEJO AERO          
  12052025 24.4   9.9SUNCHALES AERO            
  12052025   18   4.4TANDIL AERO               
  12052025 25.6    13TARTAGAL AERO             
  12052025NA     14.5TERMAS DE RIO HONDO AERO  
  12052025 27.5   7.5TINOGASTA                 
  12052025 19.9   4.6TRELEW AERO               
  12052025 23.7  13.3TRENQUE LAUQUEN           
  12052025 23.1   9.5TRES ARROYOS              
  12052025 24.7    13TUCUMAN AERO              
  12052025 11.9   6.1USHUAIA AERO              
  12052025 22.9  -2.5USPALLATA                 
  12052025   23    10VENADO TUERTO AERO        
